ID,Nome,Endereco,Telefone,Data_de_cadastro,CNPJ,Porte
1,Thiago Saboia Cabral Marques,GO,80673-8541,14/12/2025,36.162.803/6720-39,ME
2,Naira Brito Santana Saboia,AM,16563-9094,23/5/2024,66.647.328/4443-42,EPP
3,André Ferreira Ferraz Cabral,AL,46791-2692,26/7/2025,74.507.458/4838-88,ME
4,Felipe Leite Marques Fernandes,RN,63207-2159,23/11/2015,83.218.903/9820-20,ME
5,Isabel Rodrigues Pinheiro Nascimento,RS,38219-0271,18/2/2018,68.588.423/8820-83,EPP
6,Marcos Moares Ferreira Marques,CE,09907-0313,28/10/2018,44.355.216/9712-48,Grande Porte
7,Henry Santana Rodrigues Moares,TO,62670-8376,13/3/2025,00.849.272/7511-69,EPP
8,Pedro Silva Munhoz Gonçalves,PR,25927-2778,26/4/2023,88.027.595/3838-24,Grande Porte
9,Solange Rodriguez Rodrigues Ferreira,PA,94378-4535,17/10/2022,34.310.521/7174-02,EPP
10,Giuseppe Leme Fernandes Paz,SP,00051-2834,24/11/2022,69.610.379/1193-34,ME
11,Dorotéia Saboia Rodrigues Mendonça,AP,85860-8047,25/8/2024,67.449.823/9657-16,Medio Porte
12,Frederico Rodrigues Santana Matos,MA,47884-7608,16/5/2024,56.458.611/0070-71,ME
13,Helena Oliveria Ferraz Brito,BA,46076-9019,18/3/2023,06.349.480/8799-47,ME
14,Christina Leme Rodriguez Gonçalves,SP,86115-6716,4/12/2025,60.791.364/3279-29,Medio Porte
15,Bruna Leite Mendonça Ferreira,CE,84552-3709,19/2/2019,83.309.622/6465-16,EPP
16,Patrick Leite Silva Breda,AL,89988-5394,27/11/2015,16.295.501/9005-04,ME
17,Miguel Breda Ferreira Coutinho,AP,39215-0913,17/3/2023,64.226.257/3930-94,ME
18,Isaac Santana Rodrigues Rodriguez,AP,68848-3747,1/10/2021,48.488.253/1943-07,MEI
19,Anna Fernandes Ferraz Munhoz,CE,91090-6907,21/8/2023,40.680.025/4105-82,Grande Porte
20,Abraão Rodriguez Ferraz Fernandes,AC,98734-5976,25/7/2021,07.119.682/5916-81,EPP
21,Caio Cabral Cardoso Santana,PR,01351-4926,27/3/2016,09.116.920/8626-08,Medio Porte
22,Frida Nascimento Cardoso Gonçalves,AL,39363-3795,14/4/2022,13.556.391/6216-14,EPP
